condition,intervention,cost_effectiveness(USD/DALY),cost_effectiveness_range(USD/DALY),cost_effectiveness(lower_bound),cost_effectiveness(upper_bound),cost_effectiveness(DALY/1000USD),Spread(DALY/1000USD),quality_of_ evidence
Congestive heart failure,"ACE inhibitor and beta-blocker, with diuretics",150,27-274,27,274,6.666666667,4.048582996,5
Alcohol abuse,Advertising ban and reduced access to beverage retail,404,367-441,367,441,2.475247525,13.51351351,5
Lymphatic filariasis,Annual mass drug administration,15,4-27,4,27,66.66666667,43.47826087,4 (South Asia)
Schizophrenia,"Antipsychotic drugs with optional psychosocial treatment, communitybased","9,834","2,472-17,197","2,472","17,197",0.1016880212,0.06791171477,5
Schizophrenia,"Antipsychotic drugs with optional psychosocial treatment, hospitalbased","11,920","4,105-19,736","4,105","19,736",0.08389261745,0.06397543343,5
HIV/AIDS,Antiretroviral therapy,922,"350-1,494",350,"1,494",1.084598698,0.8741258741,3 (Sub-Saharan Africa)
Stroke (recurrent),Aspirin and dipyridamole,81,70-93,70,93,12.34567901,43.47826087,5
Ischemic heart disease,"Aspirin, betablocker, and optional ACE inhibitor",688,451-926,451,926,1.453488372,2.105263158,5
Parkinson's disease,Ayurvedic treatment and levodopa or carbidopa,"1,132","752-1,512",752,"1,512",0.8833922261,1.315789474,5
Tuberculosis (endemic),BCG vaccine,68,55-82,55,82,14.70588235,37.03703704,5
HIV/AIDS,Blood and needle safety,84,7-61,7,61,11.9047619,18.51851852,2 (SubSaharan Africa)
Lower acute respiratory infections (nonsevere),Case management at community or facility level,129,50-208,50,208,7.751937984,6.329113924,5
Lower acute respiratory infections (severe and very severe),Case management at hospital level,"4,530","2,916-6,144","2,916","6,144",0.2207505519,0.3097893432,5
Diarrheal disease,Cholera or rotavirus immunization,"2,712","2,478-2,945","2,487","2,945",0.3687315634,2.183406114,5
HIV/AIDS,Condom promotion and distribution,82,52-112,52,112,12.19512195,16.66666667,1 (SubSaharan Africa)
Diarrheal disease,Construction and promotion of basic sanitation where facilities are limited,141,11-270,11,270,7.092198582,3.861003861,1
Lymphatic filariasis,Diethyl carbamazine salt,22,1-43,1,43,45.45454545,23.80952381,4 (South Asia)
"Tuberculosis (endemic, infectious or noninfectious)",Directly observed short-course chemotherapy,301,84-551,84,551,3.322259136,2.141327623,5
"Tuberculosis (epidemic, infectious)",Directly observed short-course chemotherapy,102,15-189,15,189,9.803921569,5.747126437,5
