ArticleID,RatioID,PubMedID,Title,Affiliation,PubYear,PrimAuthLastName,PrimAuthFirstName,PrimAuthFMInitials,DisplayRatio,ComparatorID,InterventionPhrase,ComparatorPhrase,CI_ICER,CI_ICERText,RatioUncertainty,IncrementalAnalysisCorrect,IncrementalAnalysisRecalculated,Rating,RatingUncertainty,Country,SuperRegion_SubSaharanAfrica,SuperRegion_SoutheastAsiaOceania,SuperRegion_SouthAsia,SuperRegion_NorthAfricaMidEast,SuperRegion_HighIncome,SuperRegion_EuropeCentralAsia,SuperRegion_LatinAmerica,SuperRegion_NA,SuperRegion_Multiple,WBIncome_High,WBIncome_UpperMiddle,WBIncome_LowerMiddle,WBIncome_Low
2014-01-02189,2014-01-02189-01,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,1000,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02871,2017-01-02871-01,28400955,Cost-effectiveness analysis of revised WHO guidelines for management of childhood pneumonia in 74 Countdown countries.,"Usher Institute of Population Health Sciences and Informatics, University ofEdinburgh, Edinburgh, UK; Department of Preventive Dentistry, Peking UniversitySchool and Hospital of Stomatology, Beijing, China.",2017,Zhang,Shanshan,,41,3,Childhood pneumonia management according to 2005 World Health Organization Guidelines,None,0.0,,,1,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-01-02313,2015-01-02313-06,26633766,Evaluating the impact of pulse oximetry on childhood pneumonia mortality in resource-poor settings.,"MRC Centre for Outbreak Analysis and Modelling, Department of Infectious Disease Epidemiology, Faculty of Medicine, Imperial College London, Norfolk Place, LondonW2 1PG, UK.",2015,Floyd,Jessica,,10,4,Pulse oximetry with integrated management of childhood illness,World Health Organization (WHO) guidelines for integrated management of childhood illness (IMCI) alone to diagnose pneumonia cases as severe or non-severe,0.0,,,0,0,3.0,0,Uganda,1,1,1,1,0,0,0,0,1,0,0,1,1
2009-01-01512,2009-01-01512-01,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,58,3,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12)",None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-01-03733,2017-01-03733-01,29107346,Potential impact and cost-effectiveness of rotavirus vaccination in Afghanistan.,"Afghanistan National Immunization Technical Advisory Group, District 10, Kabul,Afghanistan.",2017,Anwari,Palwasha,,80,3,Rotavirus vaccine,None,0.0,,,1,0,5.0,0,Afghanistan,0,0,0,1,0,0,0,0,0,0,0,0,1
2008-01-01784,2008-01-01784-41,18550229,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries.","Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, 718 Huntington Avenue, Boston, MA 02115, USA. sue.goldie@harvard.edu",2008,Goldie,Sue J,SJ,680,3,"HPV 16, 18 vaccination",None,0.0,,"Discount rate, per dose cost, cancer incidence, ratio deaths/caes, cancer costs, access to care",0,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-01-02222,2014-01-02222-08,24969782,Scaling up integrated prevention campaigns for global health: costs and cost-effectiveness in 70 countries.,"Health Strategies International, Oakland, California, USA.",2014,Marseille,Elliot,E,57,3,"Integrated prevention campaign (IPC) against diarrhea (household water filters), malaria (bed-nets) and HIV (counseling, testing, cotrimoxazole prophylaxis, referral to treatment & condom distribution)",None,0.0,,,1,0,5.0,0,Zimbabwe,1,1,1,1,1,1,1,0,1,0,1,1,1
2009-01-01512,2009-01-01512-89,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,50,3,Sugar fortification (consists of vitamin A),None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-01-01517,2010-01-01517-43,20470426,Health and economic impact of rotavirus vaccination in GAVI-eligible countries.,"Center for Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sykim@hsph.harvard.edu",2010,Kim,Sun-Young,SY,59,3,Rotavirus vaccination program,None,0.0,,,1,0,6.0,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2011-01-01317,2011-01-01317-115,21679420,Comparative evaluation of the potential impact of rotavirus versus HPV vaccination in GAVI-eligible countries: a preliminary analysis focused on the relative disease burden.,"Center for Health Decision Science, Harvard School of Public Health, Boston, MA, USA.",2011,Kim,Sun-Young,SY,740,3,Human papillomavirus (HPV) vaccine,None,0.0,,,1,0,6.5,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
