ArticleID,RatioID,PubMedID,Title,Affiliation,PubYear,PrimAuthLastName,PrimAuthFirstName,PrimAuthFMInitials,DisplayRatio,CI_ICER,CI_ICERText,CI_Usable,CI_Type,CI_Lower,CI_Upper,CI_Difference,CI_Currency,CI_Notes,RatioUncertainty,ComparatorID,InterventionPhrase,ComparatorPhrase,IncrementalAnalysisCorrect,IncrementalAnalysisRecalculated,Rating,RatingUncertainty
2007-01-00171,2007-01-00171-01,17263879,"Treating cutaneous leishmaniasis patients in Kabul, Afghanistan: cost-effectiveness of an operational program in a complex emergency setting.","Clinical Trials Area, Westat, Rockville, USA. rreithinger@yahoo.co.uk",2007,Reithinger,Richard,R,1600,1,95% CI 760.6-1826.9,1,95,760.6,1826.9,1066.3,USD,,"Lesion duration, drug compliance, drug efficacy, program costs, and drug prices",3,Intralesional and intramuscular administration of the pentavalent antimonial drug sodium stibogluconate,None,1,0,4.5,0
2017-01-02961,2017-01-02961-01,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,38,1,$26.83 - $59.81,1,95,26.83,59.81,32.98,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2017-01-02961,2017-01-02961-02,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,340,1,$245.73 - $519.06,1,95,245.73,519.06,273.33,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2017-01-02961,2017-01-02961-03,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,97,1,$68.75 - $149.95,1,95,68.75,149.95,81.2,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2017-01-02961,2017-01-02961-04,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,28000,1,"$19,847.69 - $43,026.24",1,95,19847.69,43026.24,23178.55,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2013-01-00773,2013-01-00773-01,24223524,Antenatal Syphilis screening using point-of-care testing in Sub-Saharan African countries: a cost-effectiveness analysis.,"Infectious Diseases Institute, Makerere College of Health Sciences, Kampala, Uganda ; Pfizer, New York, New York, United States of America.",2013,Kuznik,Andreas,A,5,1,$5/DALY averted ($3-$13),1,91,3,13,10.0,USD,,"ICS Specificity 91% ICER=$6, Nurses Wages Increased 25% ICER= $5, Penicillin Efficacy in Reducing Neonatal Deat, RR=0.82 ICER= $6, Penicillin Efficacy in Reducing congential syphilis RR=0.57, ICER= $5.",3,Syphilis screening before third trimester + treat with three injections of benzathine penicillin if positive,None,1,0,6.0,0
2016-01-02819,2016-01-02819-01,27461265,Newborn screening and prophylactic interventions for sickle cell disease in 47 countries in sub-Saharan Africa: a cost-effectiveness analysis.,"Infectious Diseases Institute, Makerere University College of Health Sciences,Kampala, Uganda.",2016,Kuznik,Andreas,A,190,1,115-710,1,95,115,710,595.0,USD,,,3,Sickle cell disease screening using isoelectric focusing (IEF),None,1,0,6.0,0
2013-01-00835,2013-01-00835-01,23912819,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"Department of Global Health, University of Washington, , Seattle, Washington, USA.",2013,Verguet,Stéphane,S,15000,1,7600000 - 30800000,1,95,7600000,30800000,23200000.0,USD,,,2,Pre-exposure prophylaxis (PrEP) for reducing HIV transmission,"Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",1,0,4.0,0
2017-01-02961,2017-01-02961-05,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,220,1,$147.55 - $347.13,1,95,147.55,347.13,199.58,USD,,,3,Policy intervention to reduce sodium consumption by 10%,None,1,0,5.0,0
2017-01-03715,2017-01-03715-01,29161259,"The US President's Malaria Initiative, Plasmodium falciparum transmission and mortality: A modelling study.",,2017,Winskill,Peter,,150,1,"98, 253",1,95,98,253,155.0,USD,,,3,The President’s Malaria Initiative (PMI),None,1,0,3.0,1
