id,name,citations,year,title,url
939,Duncan Irschick,337,2001,Integrating function and ecology in studies of adaptation: investigations of locomotor capacity as a model system,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,335,1996,A comparative analysis of clinging ability among pad-bearing lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,246,1998,A comparative analysis of the ecological significance of maximal locomotor performance in Caribbean Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,231,2008,How does selection operate on whole-organism functional performance capacities? A review and synthesis,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,220,1999,Do lizards avoid habitats in which performance is submaximal? The relationship between sprinting capabilities and structural habitat use in Caribbean anoles,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,190,2004,"Performance capacity, fighting tactics and the evolution of life–stage male morphs in the green anole lizard (Anolis carolinensis)",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,186,1997,A comparison of evolutionary radiations in mainland and Caribbean Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,175,1996,The effect of perch diameter on escape behaviour ofAnolis lizards: laboratory predictions and field tests,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,174,1997,Pleiotropic effects of individual gene loci on mandibular morphology,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,170,2006,A functional perspective on sexual selection: insights and future prospects,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,163,2008,Rapid large-scale evolutionary divergence in morphology and performance associated with exploitation of a different dietary resource,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,162,1999,Comparative three-dimensional kinematics of the hindlimb for high-speed bipedal and quadrupedal locomotion of lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,143,2007,"The quick and the dead: correlational selection on morphology, performance, and habitat use in island lizards",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,120,1998,"Effects of incline on speed, acceleration, body posture and hindlimb kinematics in two species of lizard Callisaurus draconoides and Uma scoparia.",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,116,2003,Measuring performance in nature: implications for studies of fitness within populations,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,113,2008,Allometry of behavior,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,112,2012,Looking Beyond Fibrillar Features to Scale Gecko‐Like Adhesion,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,107,1994,Adaptation and constraint in the evolution of specialization of Bahamian Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
