program_name,date_last_literature_review,total_benefits,taxpayer_benefits,non-taxpayer_benefits,costs,benefits_minus_costs_NPV,benefit_cost_ratio,chance_benefits_exceed_costs,chance_costs_exceed_benefits
Dialectical Behavior Therapy -DBT for youth in the juvenile justice system,Jun. 2017,59838,12442,47396,-2149,57688,27.84,93,7
Functional Family Therapy -FFT for youth in state institutions,Jul. 2017,40206,8539,31667,-3469,36737,11.59,96,4
Education and Employment Training -EET King County,Dec. 2015,36180,9023,27157,-865,35316,41.84,100,0
Functional Family Therapy -FFT for youth on probation,Jul. 2017,28951,7240,21711,-3467,25484,8.35,96,4
Parenting with Love and Limits ,Jun. 2017,24950,6385,18565,-2795,22154,8.93,94,6
Functional Family Parole ,Jun. 2017,22095,5041,17054,-3470,18626,6.37,76,24
Cognitive behavioral therapy -CBT,Dec. 2014,15116,3707,11410,-395,14722,38.3,95,5
Multisystemic Therapy -MST for juveniles convicted of sex offenses,Aug. 2017,21644,5408,16236,-8902,12742,2.43,72,28
Wilderness experience programs,Sep. 2015,18637,5975,12662,-6457,12181,2.89,96,4
Other family-based therapies -non-name brand,Sep. 2015,13545,3315,10230,-1814,11730,7.47,93,7
Mentoring,Jun. 2014,12897,4045,8852,-3296,9601,3.91,82,18
Coordination of Services,Sep. 2015,9962,2780,7182,-419,9543,23.76,96,4
Multidimensional Treatment Foster Care,Jul. 2017,19951,4999,14952,-10766,9185,1.85,70,30
Therapeutic communities for juveniles with substance use disorder,Aug. 2017,12690,3135,9555,-4720,7969,2.69,74,26
Teaching-Family Model,Jun. 2015,30139,8122,22016,-22363,7776,1.35,59,41
Intensive supervision -parole,Sep. 2015,9023,2133,6890,-2156,6867,4.18,76,24
Aggression Replacement Training -ART for youth in state institutions,Jun. 2017,6470,1482,4987,-1604,4865,4.03,65,35
Multisystemic Therapy -MST,Aug. 2017,12655,3434,9220,-7830,4824,1.62,73,27
Vocational and employment training,Jun. 2017,5838,2989,2850,-1966,3872,2.97,53,47
Multisystemic Therapy -MST for juveniles with substance use disorder,Aug. 2017,11381,3612,7769,-7826,3555,1.45,51,49
Aggression Replacement Training -ART for youth on probation,Jun. 2017,4958,1353,3604,-1604,3353,3.09,64,36
Victim offender mediation,Apr. 2012,3717,1136,2581,-615,3102,6.04,77,23
Diversion with services -vs. simple release,Jul. 2015,-260,47,-308,-865,-1126,-0.3,39,61
Drug court,Jul. 2014,1247,815,432,-3266,-2019,0.38,43,57
Other substance use disorder treatment for juveniles -non-therapeutic communities,Aug. 2017,-798,177,-975,-2352,-3150,-0.34,42,58
Family Integrated Transitions for youth in state institutions,Dec. 2014,6524,2548,3976,-11946,-5422,0.55,41,59
Intensive supervision -probation,Sep. 2015,-5800,-878,-4922,-4408,-10208,-1.32,0,100
Scared Straight,May. 2015,-10759,-2929,-7830,-106,-10865,-101.25,2,98
Treatment for juveniles convicted of sex offenses -non-MST,Aug. 2017,-24271,-4154,-20117,-9366,-33637,-2.59,18,82
Offender Reentry Community Safety Program -for individuals with serious mental illness,Apr. 2012,69950,23873,46077,-36726,33224,1.9,96,4
Circles of Support and Accountability,Nov. 2016,28512,6931,21581,-3906,24606,7.3,92,8
Correctional education -post-secondary education,Jul. 2016,24711,6732,17979,-1248,23462,19.79,100,0
Employment counseling and job training -transitional reentry from incarceration into the community ,Aug. 2016,23721,6632,17089,-2434,21287,9.75,97,3
Drug Offender Sentencing Alternative -for persons convicted of drug offenses,Nov. 2016,22656,6738,15918,-1629,21027,13.91,99,1
Vocational education in prison,Jul. 2016,17781,4923,12858,-1495,16286,11.89,97,3
Mental health courts,Oct. 2016,17171,4980,12191,-3106,14065,5.53,95,5
Intensive supervision -surveillance and treatment,Dec. 2016,13210,3907,9303,-813,12397,16.25,100,0
Reentry courts,Aug. 2016,16912,5153,11760,-4922,11990,3.44,95,5
Inpatient or intensive outpatient drug treatment during incarceration,Nov. 2016,13085,3651,9434,-1289,11796,10.15,98,2
Therapeutic communities -in the community for individuals with co-occurring disorders,Nov. 2016,16448,4872,11576,-5092,11357,3.23,87,13
Correctional education -basic skills,Jul. 2016,12076,3379,8697,-1249,10827,9.67,98,2
Drug Offender Sentencing Alternative -for persons convicted of property offenses,Nov. 2016,12349,3774,8575,-1629,10721,7.58,71,29
Outpatient or non-intensive drug treatment during incarceration,Nov. 2016,10592,2916,7676,-748,9844,14.16,99,1
Outpatient or non-intensive drug treatment in the community,Nov. 2016,10340,3071,7269,-769,9572,13.45,100,0
Drug courts,Aug. 2016,13926,4888,9038,-4924,9002,2.83,100,0
Therapeutic communities -during incarceration for individuals with substance use disorders,Nov. 2016,11092,2966,8126,-2198,8894,5.05,96,4
Risk Need and Responsivity supervision -for individuals classified as high- and moderate-risk ,Dec. 2016,9592,2947,6645,-1372,8220,6.99,98,2
Serious and Violent Offender Reentry Initiative -SVORI,Aug. 2016,22719,8120,14599,-14535,8184,1.56,89,11
Cognitive Behavioral Therapy -CBT -for individuals classified as high- or moderate-risk,Dec. 2016,8817,2732,6085,-1395,7422,6.32,100,0
Therapeutic communities -in the community for individuals with substance use disorders,Nov. 2016,9617,3074,6544,-3784,5833,2.54,80,20
Correctional industries in prison,Jul. 2016,6151,1700,4451,-485,5666,12.68,100,0
"Case management -not ""swift certain and fair"" for drug-involved persons",Nov. 2016,5714,1527,4187,-385,5329,14.84,85,15
Day reporting centers,Oct. 2016,7938,2855,5083,-3989,3949,1.99,76,24
Employment counseling and job training in the community,Aug. 2016,4240,1496,2744,-1963,2277,2.16,74,26
